# kn at f=1000.0Hz
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
 ( 0.000+ 0.000j)
